704.38,35.46666667
704.87,36.9
705.35,36.46666667
705.83,37.43333333
706.32,37.96666667
706.81,38
707.29,38.6
707.78,39.33333333
708.27,39.33333333
708.76,39.43333333
709.26,38.9
709.75,38.93333333
710.24,40.53333333
710.74,39.96666667
711.24,40.3
711.74,40.66666667
712.23,40.9
712.73,41.4
713.24,42.2
713.74,42.23333333
714.24,41.83333333
714.75,41.9
715.25,43.03333333
715.76,42.9
716.27,43.8
716.78,42.6
717.29,42.8
717.8,44.16666667
718.32,43.73333333
718.83,43.5
719.35,43.33333333
719.86,43.5
720.38,42.23333333
720.9,43.5
721.42,44.4
721.94,43.03333333
722.47,43.93333333
722.99,44.46666667
723.52,45.53333333
724.05,45.2
724.58,46.1
725.11,46.36666667
725.64,46.66666667
726.17,47.46666667
726.71,47.46666667
727.24,47.9
727.78,48.73333333
728.32,48.76666667
728.86,49.06666667
729.4,49.26666667
729.94,49.76666667
730.48,49.33333333
731.03,50.16666667
731.58,50.16666667
732.12,51.1
732.67,50.96666667
733.23,51.3
733.78,51.2
734.33,52.33333333
734.89,51.76666667
735.45,52.56666667
736,53.43333333
736.56,53.83333333
737.13,54.86666667
737.69,53.16666667
738.25,52.76666667
738.82,53.1
739.39,53.63333333
739.96,53.66666667
740.53,53.03333333
741.1,53.1
741.67,53.8
742.25,53.66666667
742.83,53.8
743.41,55.66666667
743.99,54.23333333
744.57,55.66666667
745.15,54.76666667
745.74,57.06666667
746.32,56.93333333
746.91,55.83333333
747.5,55.96666667
748.1,56.56666667
748.69,56.93333333
749.28,57.46666667
749.88,57.36666667
750.48,57.96666667
751.08,57.56666667
751.68,58.26666667
752.29,59.1
752.89,58.26666667
753.5,59.43333333
754.11,59.96666667
754.72,59.93333333
755.33,58.9
755.95,59.7
756.56,61.13333333
757.18,60.4
757.8,62.63333333
758.42,60.9
759.05,62.1
759.67,61.13333333
760.3,62.26666667
760.93,62.96666667
761.56,62.3
762.19,61.53333333
762.83,62.1
763.47,62.63333333
764.11,62.93333333
764.75,63.36666667
765.39,63.26666667
766.03,63.53333333
766.68,64.36666667
767.33,66.03333333
767.98,65.76666667
768.63,64.86666667
769.29,66
769.94,65.63333333
770.6,66.86666667
771.26,67
771.92,68.16666667
772.59,68.63333333
773.26,69.06666667
773.92,69.13333333
774.6,68.56666667
775.27,70.23333333
775.94,69.83333333
776.62,69.03333333
777.3,70.56666667
777.98,70.63333333
778.67,71.4
779.35,72.13333333
780.04,72.2
780.73,73.53333333
781.42,74.63333333
782.12,73.33333333
782.81,75.5
783.51,75.46666667
784.21,75.3
784.92,74.13333333
785.62,75.56666667
786.33,74.43333333
787.04,76.46666667
787.75,75.93333333
788.47,75.03333333
789.19,75.33333333
789.9,75.83333333
790.63,75.36666667
791.35,75.63333333
792.08,74.26666667
792.81,75.06666667
793.54,75.2
794.27,75.73333333
795.01,75
795.75,75.16666667
796.49,74.13333333
797.23,75.1
797.98,75.33333333
798.72,75.6
799.48,75.4
800.23,76.4
800.98,75.6
801.74,76.76666667
802.5,75.9
803.27,77.7
804.03,77.36666667
804.8,76.5
805.57,77.13333333
806.35,79.5
807.12,78.16666667
807.9,79.93333333
808.68,80.06666667
809.47,79.83333333
810.25,79.96666667
811.04,80.4
811.84,81.8
812.63,81.93333333
813.43,81.8
814.23,82.36666667
815.03,83.2
815.84,83.23333333
816.65,82.3
817.46,83.7
818.27,84.16666667
819.09,82.7
819.91,83.93333333
820.73,84.36666667
821.56,85.06666667
822.38,85.06666667
823.21,85.5
824.05,86.3
824.89,85.2
825.72,86.1
826.57,85.6
827.41,86.8
828.26,84.7
829.11,86.2
829.97,85.6
830.82,86.23333333
831.69,87.76666667
832.55,86.03333333
833.42,86.66666667
834.28,87.5
835.16,87.76666667
836.03,86.4
836.91,87.4
837.79,89.16666667
838.68,88.23333333
839.57,88.63333333
840.46,88.16666667
841.35,89.13333333
842.25,88.33333333
843.15,88.96666667
844.05,87.93333333
844.96,90.63333333
845.87,92.63333333
846.79,90.6
847.7,90.56666667
848.62,90.8
849.55,92.8
850.47,91.03333333
851.4,94.1
852.34,92.4
853.27,92.83333333
854.22,93.43333333
855.16,92.96666667
856.11,92.73333333
857.06,93.03333333
858.01,93.93333333
858.97,94.13333333
859.93,93.63333333
860.89,93.73333333
861.86,93.93333333
862.83,94.06666667
863.81,95.7
864.79,95.06666667
865.77,93.4
866.75,93.23333333
867.74,93.83333333
868.74,92.1
869.73,93.33333333
870.73,93.33333333
871.74,92.26666667
872.74,92.03333333
873.76,93.3
874.77,92.23333333
875.79,94.03333333
876.81,92.33333333
877.84,93
878.87,93.3
879.9,91.93333333
880.94,93.36666667
881.98,92.2
883.03,94.16666667
884.07,93.96666667
885.13,91.76666667
886.19,91.76666667
887.25,91
888.31,91.5
889.38,92.43333333
890.45,91.83333333
891.53,91.53333333
892.61,93.6
893.7,92.5
894.78,94.23333333
895.88,91.86666667
896.97,91.83333333
898.08,93.36666667
899.18,93.36666667
900.29,92.9
901.4,92.16666667
902.52,93.8
903.64,93.13333333
904.77,93.63333333
905.9,93.53333333
907.04,92.46666667
908.18,94.1
909.32,93.83333333
910.47,92.2
911.62,93.1
912.78,91.93333333
913.94,92.66666667
915.1,91.06666667
916.27,90.46666667
917.45,90.7
918.62,88.8
919.81,88.96666667
921,88.43333333
922.19,92.03333333
923.38,88.6
924.59,86.9
925.79,86.9
927,86.33333333
928.22,84.4
929.44,84.63333333
930.66,82.7
931.89,82.3
933.12,81.6
934.36,83.63333333
935.61,81.9
936.85,80.83333333
938.11,82.16666667
939.36,80.73333333
940.63,79.63333333
941.89,82.9
943.17,80.96666667
944.44,80.46666667
945.73,78.43333333
947.01,81.26666667
948.31,78.56666667
949.6,80
950.9,78.93333333
952.21,78.9
953.52,77.96666667
954.84,77.9
956.16,76.73333333
957.49,77.16666667
958.82,76.36666667
960.16,75.06666667
961.51,74.36666667
962.85,74.63333333
964.21,73.16666667
965.57,72
966.93,71.6
968.3,70.33333333
969.67,68.46666667
971.05,67.86666667
972.44,67.4
973.83,65.56666667
975.23,64.66666667
976.63,62.83333333
978.04,61.23333333
979.45,61.36666667
980.87,59.63333333
982.29,59.33333333
983.72,58.96666667
985.16,56.93333333
986.6,56.46666667
988.04,54.66666667
989.5,54.16666667
990.95,53.76666667
992.42,52.63333333
993.89,52.5
995.36,51.73333333
996.84,50.9
998.33,49.43333333
999.82,48.96666667
1001.3,47.46666667
1002.8,47.73333333
1004.3,46.8
1005.9,46.06666667
1007.4,45.2
1008.9,45.03333333
1010.4,43.5
1012,42.8
1013.5,41.4
1015.1,40.9
1016.6,39.96666667
1018.2,39.26666667
1019.8,38.13333333
1021.3,38.13333333
1022.9,37.46666667
1024.5,35.86666667
1026.1,35.5
1027.7,34
1029.3,34.1
1030.9,32.56666667
1032.6,31.13333333
1034.2,30.7
1035.8,29.6
1037.5,28.93333333
1039.1,27.96666667
1040.8,29.3
1042.4,26.63333333
1044.1,26.23333333
1045.8,25.36666667
1047.5,24.3
1049.1,23.93333333
1050.8,23.76666667
1052.5,23.03333333
1054.3,22.5
1056,21.43333333
1057.7,21.66666667
1059.4,21.03333333
1061.2,20.4
1062.9,19.5
1064.6,19.3
1066.4,18.5
1068.2,18.53333333
1069.9,17.96666667
1071.7,18.33333333
1073.5,17.93333333
1075.3,17.53333333
1077.1,17.46666667
1078.9,16.83333333
1080.7,16.33333333
1082.5,15.96666667
1084.4,15.86666667
1086.2,15.46666667
1088,15.1